0,0,1
0,284,1
0,345,1
0,421,1
0,3964,1
0,4838,2
0,10614,1
0,10689,1
1,1,1
1,5,8
1,16,2
1,21,3
1,40,7
1,182,4
1,364,1
1,464,2
1,517,2
1,535,1
1,609,3
1,869,1
1,1209,2
1,1243,7
1,1287,2
1,1352,2
1,1587,1
1,1686,1
1,2016,1
1,2499,1
1,2507,1
1,2535,2
1,2595,3
1,2778,1
1,2783,1
1,2844,1
1,2846,1
1,3629,1
1,3684,1
1,3872,1
1,4029,2
1,4216,1
1,4284,1
1,4356,1
1,4514,1
1,4897,2
1,5693,2
1,5763,3
1,6062,2
1,6166,1
1,6307,1
1,6728,1
1,6793,1
1,6948,2
1,7171,1
1,7424,1
1,7927,1
1,8089,1
1,8271,1
1,9546,2
1,9894,1
2,2,1
2,5,11
2,35,3
2,40,17
2,429,1
2,440,1
2,472,2
2,517,3
2,535,6
2,625,1
2,626,2
2,670,1
2,722,2
2,844,1
2,865,1
2,880,3
2,1101,7
2,1106,2
2,1139,9
2,1330,2
2,1398,1
2,1749,1
2,1806,2
2,1974,1
2,2080,1
2,3398,1
2,4145,6
2,4171,3
2,4398,1
2,4426,1
2,4803,2
2,4838,2
2,5171,4
2,5188,2
2,5376,1
2,5384,1
2,5417,1
2,6181,2
2,7757,3
2,8755,1
2,9334,1
2,10002,2
3,3,10
3,6,2
3,554,3
3,1272,2
3,1453,2
3,4443,1
3,4809,1
3,7126,1
4,4,19
4,5326,3
5,5,1
5,21,1
5,1129,1
5,1242,1
5,4135,1
5,7846,2
6,6,19
6,1830,8
7,7,21
7,192,27
7,1201,2
8,8,6
8,10,2
8,29,1
8,284,1
8,352,1
8,676,1
8,719,1
8,2690,1
8,3029,1
8,5055,1
9,9,8
9,803,1
10,8,1
10,10,4
10,95,18
10,136,7
10,675,1
10,1771,1
10,8894,70
10,9174,2
11,11,34
11,21,14
11,98,1
11,462,1
11,653,1
11,676,2
11,757,1
11,1121,1
11,1728,1
11,2138,2
11,2633,1
11,2980,3
11,3438,1
11,4021,1
11,4104,3
11,4145,2
11,4191,2
11,4591,3
11,5486,3
11,5871,1
11,6045,1
11,6859,1
11,7178,1
11,10209,13
12,12,1
12,40,1
12,165,2
12,284,1
12,364,1
12,678,1
12,1021,1
12,1101,1
12,3639,1
12,5945,1
13,13,6
13,29,3
13,175,3
13,349,1
13,554,2
13,713,58
13,740,2
13,962,1
13,1101,3
13,1121,1
13,1223,1
13,1350,1
13,1458,1
13,1536,1
13,1845,3
13,1895,1
13,2029,1
13,2471,1
13,3055,1
13,3207,1
13,3226,1
13,3233,6
13,3499,1
13,4468,2
13,4848,2
13,4974,4
13,5303,1
13,5919,2
13,7820,29
13,9186,2
13,9515,3
13,9849,6
13,9941,10
14,14,1
14,125,1
14,143,1
14,236,1
14,1059,1
14,1201,1
14,1242,1
14,1363,1
14,1620,1
14,1630,1
14,1784,3
14,2014,1
14,2504,2
14,3130,3
14,3599,1
14,5047,5
14,5194,3
14,6652,1
14,6748,2
14,6749,2
15,5,14
15,15,89
15,23,1
15,40,8
15,52,1
15,65,4
15,173,936
15,311,2
15,464,2
15,771,3
15,916,3
15,1004,192
15,1121,1
15,1131,1
15,1196,1
15,1208,1
15,1239,1
15,1319,1
15,1353,4
15,1561,1
15,1666,1
15,1681,3
15,1957,2
15,2125,1
15,2138,1
15,2402,1
15,2773,1
15,2851,1
15,3013,1
15,3093,1
15,3202,1
15,3426,22
15,3466,2
15,3492,5
15,3697,2
15,3733,1
15,3745,4
15,3888,31
15,4038,2
15,4098,1
15,4110,1
15,4153,1
15,4213,3
15,4392,1
15,4478,5
15,4496,1
15,4500,11
15,4523,3
15,4843,7
15,4909,3
15,4912,13
15,5330,1
15,5411,1
15,6335,1
15,6443,1
15,6482,1
15,6593,1
15,6897,6
15,6984,3
15,7723,2
15,7749,1
15,8196,2
15,8691,3
15,8838,2
15,8902,2
15,8956,23
15,9350,3
15,9412,2
15,9518,5
15,9745,4
15,10076,2
15,10396,3
15,10754,2
16,6,1
16,23,1
16,203,1
16,243,10
16,1453,1
17,5,2
17,16,1
17,40,3
17,113,2
17,464,1
17,5974,2
18,17,22
18,284,1
18,1229,1
18,2149,1
19,18,6
19,539,3
19,2509,1
19,6015,1
19,6406,2
19,8148,1
20,16,1
20,19,46
20,21,5
20,29,3
20,228,1
20,429,1
20,509,1
20,554,2
20,591,2
20,658,1
20,843,11
20,933,2
20,1106,1
20,1177,10
20,1181,2
20,1341,1
20,1452,38
20,1694,2
20,1912,5
20,2011,1
20,2170,1
20,2421,2
20,2544,1
20,2737,1
20,2778,1
20,2781,4
20,3052,1
20,3087,1
20,3115,2
20,3245,2
20,3255,1
20,3293,1
20,3397,1
20,3648,4
20,3839,2
20,4235,2
20,4867,14
20,5164,1
20,5361,1
20,5878,1
20,5909,4
20,6035,3
20,6429,3
20,8740,1
20,9402,2
20,9772,8
20,9933,1
20,11044,1
20,11170,1
21,20,1
21,22,3
21,29,2
21,211,3
21,364,1
21,509,1
21,517,1
21,525,1
21,565,2
21,707,6
21,743,1
21,746,3
21,805,1
21,877,1
21,898,1
21,1047,1
21,1202,1
21,1444,1
21,1591,3
21,1614,1
21,1700,1
21,1718,1
21,2309,2
21,2471,1
21,2634,4
21,2748,2
21,2836,1
21,2871,1
21,3037,1
21,3179,1
21,3186,1
21,3196,1
21,3234,2
21,3398,1
21,3827,1
21,4082,1
21,4096,1
21,4105,1
21,4382,1
21,4711,1
21,5109,1
21,7518,2
21,7753,1
21,7864,1
21,8090,3
21,8672,1
21,8678,2
21,9440,1
21,9617,1
21,9751,1
21,11032,1
22,21,1
22,29,2
22,275,4
22,811,1
22,1353,1
22,2085,2
22,2957,2
22,4066,1
22,4067,1
22,4496,4
23,5,1
23,16,1
23,40,25
23,495,2
23,1101,1
23,2902,1
23,3442,1
23,6813,1
24,5,2
24,22,1
24,73,1
24,352,2
24,476,1
24,676,2
24,1257,1
24,1575,5
24,2221,2
24,2403,2
24,2500,1
24,3326,1
24,3597,1
24,5756,1
24,6270,1
25,6,36
25,23,9
25,40,41
25,147,3
25,169,2
25,312,1
25,364,1
25,464,2
25,472,1
25,1101,2
25,1353,1
25,1397,3
25,1718,3
25,2125,1
25,2799,1
25,3306,1
25,3774,2
25,4188,1
25,6943,1
26,24,329
26,52,1
26,825,21
26,983,108
26,1666,49
26,3882,1
